"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",27.7043571033037,-1.23489062486958,0.176839852718265,-6.98310141004789,2.88733832899667e-12,4.12080160188148e-11
"ENSG00000000938",14.7930074784969,1.87707377242268,0.165596012733621,11.3352594753725,8.77715806435125e-30,1.19898765558424e-27
"ENSG00000001084",51.5674477799676,-2.2323622897561,0.358511235125976,-6.22675685176696,4.76189264671739e-10,4.73219955169167e-09
"ENSG00000004478",57.1576273312533,-1.3741624030838,0.198250801763505,-6.93143427850065,4.16594988727989e-12,5.84742524439915e-11
"ENSG00000004799",15.5213684750807,2.36375563991253,0.310223244683709,7.61953103263592,2.54598999463931e-14,4.85826826914987e-13
"ENSG00000005001",11.2501280904412,-1.50650948784527,0.308401601293761,-4.884895154647,1.03483905044651e-06,5.33282926236087e-06
"ENSG00000005844",13.6030499575036,1.13746904560076,0.189145522555804,6.01372440769869,1.81308645707294e-09,1.61693492741655e-08
"ENSG00000006016",23.6943661649103,-2.6534012512689,0.532676100007556,-4.98126582219713,6.31696953958379e-07,3.43639948531341e-06
"ENSG00000006074",190.55183933878,2.03381421779479,0.312749212208266,6.50301947504326,7.87235995065895e-11,8.89101440096731e-10
"ENSG00000006118",10.9944166571119,-2.6806918397826,0.341421828064348,-7.85155376555881,4.10914278678284e-15,8.93012192501342e-14
"ENSG00000006453",25.2275902068351,-1.31717746474885,0.168428213509586,-7.82040869105272,5.26521122393041e-15,1.11450535312971e-13
"ENSG00000006468",18.880088378665,1.16671156675829,0.221507394652393,5.26714500249162,1.38561759572643e-07,8.59122840693202e-07
"ENSG00000006534",12.6271882561386,1.17190992688257,0.283995855141466,4.12650362907166,3.68320194503637e-05,0.000135575859448174
"ENSG00000006625",60.4240316406541,-1.43148930577747,0.15353306918656,-9.32365459351331,1.12400517120561e-20,5.34430304054998e-19
"ENSG00000006704",10.693309924414,-1.03152302308194,0.202283640257919,-5.0993892623581,3.40751150741849e-07,1.96548552498951e-06
"ENSG00000006747",13.4486151195943,-1.35032778773615,0.435910289990697,-3.09771945912303,0.00195015943648268,0.00481166058210149
"ENSG00000008441",14.821002667045,1.10847842949685,0.203209667747324,5.4548508532338,4.90139675246388e-08,3.29285093299798e-07
"ENSG00000008853",16.929234957475,1.09131892601133,0.282602166490174,3.86167926299064,0.000112610340342275,0.000369049729240524
"ENSG00000010292",22.398834318019,-1.12150578060735,0.202666627939054,-5.53374668544153,3.1346159502071e-08,2.19143012733406e-07
"ENSG00000010671",15.4411507229462,1.26237767701903,0.146637508119762,8.60883203217027,7.38087031243927e-18,2.35258407069824e-16
"ENSG00000011201",14.0675357068691,1.71667725840054,0.236177639556088,7.26858504313595,3.63272424994491e-13,5.89872167830678e-12
"ENSG00000011426",18.9630688232833,-3.3526597637152,0.336681767398918,-9.95794868732166,2.32816746377688e-23,1.64231222895605e-21
"ENSG00000011600",92.9117152398518,1.53598593281659,0.199601727178938,7.69525371611447,1.41213683064353e-14,2.78097244039319e-13
"ENSG00000012779",27.2238499713753,1.70826523213509,0.197192760721325,8.66292061577874,4.59828624338762e-18,1.51041417597686e-16
"ENSG00000012822",58.9138242759536,1.03357102700339,0.104821789102791,9.86026889876722,6.18834383675789e-23,4.06541122588843e-21
"ENSG00000013573",15.5521852436566,-1.26383482640405,0.214125494523877,-5.90230896705817,3.5844906312694e-09,3.00079050318137e-08
"ENSG00000013588",116.379731196974,1.23798070412103,0.274616447644062,4.5080355337114,6.54306198368831e-06,2.85097808815551e-05
"ENSG00000013810",14.5340919856507,-1.28593367904679,0.254606944386036,-5.05066223605059,4.40280987612221e-07,2.49116251110504e-06
"ENSG00000018280",15.0072090493254,1.44088117590168,0.219079207953119,6.57698733423398,4.80075651788188e-11,5.62878890911328e-10
"ENSG00000019169",40.6301922255049,3.05726697273598,0.310889865067321,9.8339229298258,8.04235338560186e-23,5.24337069973406e-21
"ENSG00000019186",30.2643301694152,-6.64218612071101,0.721782253270449,-9.20247912804003,3.49784825624287e-20,1.53584092312378e-18
"ENSG00000019549",15.2394719625072,-1.22709178311464,0.317239850915906,-3.86802534288141,0.00010972026395456,0.000360401752516391
"ENSG00000021826",12.1275081884506,-3.23129418024129,0.658878186608396,-4.90423608781847,9.37916286443691e-07,4.88306567521742e-06
"ENSG00000022267",38.1178161772588,2.99536856365891,0.218554637613874,13.7053534821389,9.43069108217614e-43,3.1215587482003e-40
"ENSG00000023909",32.6243553358903,-1.68406792666226,0.320537326681871,-5.25389022269371,1.48919663611375e-07,9.14124554236442e-07
"ENSG00000025423",16.6369558434906,2.70391792956704,0.311606571344732,8.67734566026104,4.05112426350101e-18,1.36187403951913e-16
"ENSG00000026025",553.746293127777,1.07955451250945,0.1570395784776,6.87441040644052,6.22467644159528e-12,8.43615204037307e-11
"ENSG00000029153",14.021089174372,-2.2370533531077,0.323989834493449,-6.90470229291387,5.03088196087815e-12,6.93842470437778e-11
"ENSG00000029993",83.3730018798873,-3.13333936074768,0.260311749086111,-12.0368726027467,2.27414531387641e-33,4.34917657138231e-31
"ENSG00000030582",130.780048946535,1.00801223641642,0.181388609710088,5.55719699284053,2.74141309761217e-08,1.94980174529342e-07
"ENSG00000032444",10.4254298561608,1.21649930934836,0.126955274676125,9.5821092306071,9.50829709190687e-22,5.34826174986605e-20
"ENSG00000038427",61.5909606865071,-1.55612483589741,0.243276055418036,-6.39653924519379,1.58937996666579e-10,1.70551171984112e-09
"ENSG00000038945",54.1524383811984,2.07678369773786,0.17977623147648,11.5520482361961,7.20818037216782e-31,1.19295385159377e-28
"ENSG00000039068",83.8239424254282,-1.25044500288327,0.18244059399968,-6.85398449692324,7.18208686523662e-12,9.61260335337891e-11
"ENSG00000041982",76.7818348372492,-2.00224723992708,0.320266981184169,-6.25180664120881,4.05731532578816e-10,4.07435889075063e-09
"ENSG00000042980",18.7916666784662,-1.37562499574477,0.235734860339723,-5.83547547342945,5.36373867683905e-09,4.37953843006422e-08
"ENSG00000046604",55.7085351297877,-1.78925311122291,0.223525948696215,-8.00467740617718,1.19780258115752e-15,2.79357425838526e-14
"ENSG00000047457",144.631604908307,-3.36313995183083,0.40722258184676,-8.25872655828403,1.47234787706874e-16,3.88681773928025e-15
"ENSG00000047936",18.1017922569324,1.09340357120503,0.359516153114452,3.04131973412873,0.00235543560375688,0.00567231781956221
"ENSG00000048740",16.2663471274212,1.0638403886782,0.162919619305512,6.52984823567044,6.58363676136579e-11,7.52440610468977e-10
"ENSG00000050344",21.2676868863722,-1.00304399888158,0.226740912934919,-4.42374508375329,9.70044722495814e-06,4.06832596578897e-05
"ENSG00000051596",48.9047504237936,-1.2919067455312,0.217062463089096,-5.9517740983199,2.65251328622381e-09,2.29653212688552e-08
"ENSG00000057019",29.7031855923295,-1.06450306603682,0.300993997730682,-3.53662556085022,0.000405273804716762,0.00117433884289308
"ENSG00000057149",34.9433664084076,-5.24568216363605,0.874577083205136,-5.99796434684952,1.99806373639799e-09,1.76724938493742e-08
"ENSG00000058085",78.5924033539481,-1.83250009150229,0.333953995274797,-5.48728303128818,4.08162875998798e-08,2.77679819039182e-07
"ENSG00000059573",33.610734344426,-1.40025644229225,0.131904280994373,-10.6157012625844,2.51895805821115e-26,2.46342648283695e-24
"ENSG00000060718",30.034763721992,-7.08714671146202,0.615401030442631,-11.5163062147695,1.09192274632584e-30,1.64861178155793e-28
"ENSG00000064042",61.3300036515855,1.83996711949763,0.255330753927235,7.20621034167312,5.75305126343526e-13,9.00195621329525e-12
"ENSG00000064886",18.2044243054181,1.75849818310185,0.272285902097173,6.45827848433474,1.05900731148827e-10,1.16843806700873e-09
"ENSG00000064989",30.0496354580464,2.72245500989877,0.166939529577796,16.3080309186451,8.65376903347866e-60,9.30929203776467e-57
"ENSG00000065054",15.859623291091,1.46265543914451,0.292450528390018,5.00137731737617,5.69221845047428e-07,3.13618642668257e-06
"ENSG00000065413",15.5237138328858,1.08865646570094,0.15058874711571,7.22933477137198,4.85365626415884e-13,7.66689704658008e-12
"ENSG00000065618",23.8601808905804,-5.39743814657482,0.69368055821583,-7.78086985810474,7.20275621430868e-15,1.49007019183511e-13
"ENSG00000065911",56.350486465977,-1.2065829985433,0.181016030465168,-6.66561406436033,2.63561017630034e-11,3.20821233058567e-10
"ENSG00000066027",37.7836776604476,1.04075974429277,0.132348987279026,7.86375298889576,3.72792315909319e-15,8.14276819978579e-14
