"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003"	3662.33538617959	-1.44635445774615	0.166108628981391	-8.70728069104817	3.11251653848474e-18	1.11551235255445e-16
"ENSG00000000938"	1911.67111755773	1.84669817777048	0.190466347722601	9.69566645158785	3.14577144364443e-22	1.84645548843915e-20
"ENSG00000001084"	9572.09912555453	-1.54016630390681	0.3301961964654	-4.66439747154446	3.09522606615095e-06	1.50534890205173e-05
"ENSG00000001626"	1697.29126556747	1.29349798173549	0.399525067400921	3.23758904578939	0.00120544314107908	0.00324057030413466
"ENSG00000002079"	35.8905011945378	-2.29598738767741	0.418131715642149	-5.49106250921753	3.99522909788826e-08	2.80092097237389e-07
"ENSG00000002587"	749.929351482779	-1.63074358924813	0.274067452405486	-5.95015414977268	2.67890066006482e-09	2.30320097923887e-08
"ENSG00000002726"	525.822541791718	-4.09215386721934	0.488338863714201	-8.37974237007329	5.30436798946042e-17	1.60168245498025e-15
"ENSG00000002745"	53.7593648616262	-1.62956511849148	0.459131867568137	-3.54923113292643	0.000386357793462227	0.00117216593746999
"ENSG00000002746"	139.102744437982	-2.70855023553417	0.307193741344149	-8.81707493024664	1.17488620944359e-18	4.46088395925539e-17
"ENSG00000003147"	2333.25685763639	-1.15071766351714	0.22028029397653	-5.22387928009456	1.75213032069659e-07	1.08665138945843e-06
"ENSG00000003249"	563.713516414126	-1.98529995583437	0.253605606924961	-7.82829677902902	4.94523487846735e-15	1.10256695076216e-13
"ENSG00000003987"	367.803499200999	-1.95607272021888	0.422140594523903	-4.63369963844622	3.59188039234583e-06	1.72465726100762e-05
"ENSG00000003989"	6602.65049336586	-1.20379060198413	0.412404143767854	-2.91895855115789	0.0035120291787598	0.00836957839193
"ENSG00000004478"	6039.66156911322	-1.02440022806247	0.181372151366192	-5.6480568838498	1.6227148875053e-08	1.21579442678637e-07
"ENSG00000004776"	70.7017095497999	1.92585567625686	0.272318133151038	7.07208019522045	1.5262816585039e-12	2.28188529438052e-11
"ENSG00000004799"	3323.75376177946	1.90681501226123	0.306463775933265	6.22199151091988	4.90883603222678e-10	4.79606829152892e-09
"ENSG00000004838"	190.288532913284	1.46874396903818	0.337542685861785	4.35128364665437	1.35342829059878e-05	5.75407086814253e-05
"ENSG00000004846"	20.3084349593457	1.72891838376262	0.434931414371355	3.97515177481852	7.03343871042409e-05	0.000255740188508451
"ENSG00000004848"	62.1536012626618	-3.19789381758013	0.526786414282878	-6.07057002776632	1.27457022219484e-09	1.16283054093898e-08
"ENSG00000005001"	836.057887120383	-1.60840848434059	0.285964976858502	-5.62449465668814	1.8605181268351e-08	1.3813701703888e-07
"ENSG00000005073"	37.5735462711562	-3.76574235078809	0.685716494461017	-5.49168990567745	3.98105938320956e-08	2.79370730393257e-07
"ENSG00000005102"	116.764825173179	1.05663748679649	0.311984495972509	3.38682691107059	0.000707059815201567	0.00201171501026003
